,engine_size_l_,cylinders,transmission,fuel_consumption_city_l_100_km_,fuel_consumption_hwy_l_100_km_,fuel_consumption_comb_l_100_km_,fuel_consumption_comb_mpg_,co2_emissions_g_km_
engine_size_l_,1.0,0.9276528990283578,0.17380254718176363,0.8313787631638315,0.761525986869883,0.8170599932705092,-0.7578538501925545,0.8511446437900028
cylinders,0.9276528990283578,1.0,0.22722877902427574,0.8007017705417654,0.7152518411619877,0.7805339373080593,-0.7193206801979056,0.8326436002237754
transmission,0.17380254718176363,0.22722877902427574,1.0,0.10595073981401426,0.06396741564275894,0.09262578273951186,-0.16412923813410313,0.1593018664474787
fuel_consumption_city_l_100_km_,0.8313787631638315,0.8007017705417654,0.10595073981401426,1.0,0.9481800107827564,0.9938096537054609,-0.9270587798567249,0.919592474902483
fuel_consumption_hwy_l_100_km_,0.761525986869883,0.7152518411619877,0.06396741564275894,0.9481800107827564,1.0,0.9772988402878405,-0.8906376757987708,0.8835359454649439
fuel_consumption_comb_l_100_km_,0.8170599932705092,0.7805339373080593,0.09262578273951186,0.9938096537054609,0.9772988402878405,1.0,-0.9255759090269554,0.9180515723870857
fuel_consumption_comb_mpg_,-0.7578538501925545,-0.7193206801979056,-0.16412923813410313,-0.9270587798567249,-0.8906376757987708,-0.9255759090269554,1.0,-0.9074262866541914
co2_emissions_g_km_,0.8511446437900028,0.8326436002237754,0.1593018664474787,0.919592474902483,0.8835359454649439,0.9180515723870857,-0.9074262866541914,1.0
